Nro;ZONA;DISTRITO;PROVINCIA;CANTON;PARROQUIA;TIPO_EDUCA;AMIE;INSTITUCIO;SOSTENIMIE;JURISDICCI;MODALIDAD;RÉGIMEN;TIPOLOGIA;ZONA_INEC;NIVEL_DE_E;AÑO_DE_DO;DOTACIÓN;TIPO_DE_PR;Longitud;Latitud
1;Zona 5;02D01;BOLIVAR;GUARANDA;ANGEL POLIBIO CHAVES;Ordinario;02H00015;UNIDAD EDUCATIVA ANGEL POLIBIO CHAVES;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-79,00115439;-1,597017341
2;Zona 5;02D01;BOLIVAR;GUARANDA;JULIO E. MORENO (CATANAHUAN GRANDE);Ordinario;02H00126;EEB CARLOS  GUALBERTO GALARZA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente menor;Rural;Inicial/EGB;2027;ML_Mo_JE;BANCO MUNDIAL;-79,0328664;-1,592138393
3;Zona 5;02D01;BOLIVAR;GUARANDA;SALINAS;Ordinario;02H00131;UNIDAD EDUCATIVA DEL MILENIO INTERCULTURAL SALINAS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-79,01632355;-1,404423699
4;Zona 5;02D01;BOLIVAR;GUARANDA;SIMIATUG;Ordinario;02H00185;UNIDAD EDUCATIVA FELIX GRANJA GAMAZO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,96064675;-1,290235556
5;Zona 5;02D01;BOLIVAR;GUARANDA;SIMIATUG;Ordinario;02H00207;UNIDAD EDUCATIVA SIMON RODRIGUEZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-79,01679644;-1,297703577
6;Zona 5;02D01;BOLIVAR;GUARANDA;SAN LUIS DE PAMBIL;Ordinario;02H00219;UNIDAD EDUCATIVA  DIEGO DE ALMAGRO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-79,24060078;-1,233023055
7;Zona 5;12D06;LOS RIOS;BUENA FE;PATRICIA PILAR;Ordinario;12H01700;CENTINELA DE LOS RIOS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial y EGB;2027;ML_Mo;BANCO MUNDIAL;-79,37006146;-0,572009319
8;Zona 5;12D02;LOS RIOS;URDANETA;RICAURTE;Ordinario;12H01018;UNIDAD EDUCATIVA 28 DE MAYO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-79,46619248;-1,572711436
9;Zona 5;02D03;BOLIVAR;SAN MIGUEL;BALSAPAMBA;Ordinario;02H00543;UNIDAD EDUCATIVA 8 DE  NOVIEMBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-79,17416065;-1,765037499
10;Zona 3;05D01;COTOPAXI;LATACUNGA;ELOY ALFARO (SAN FELIPE);Ordinario;05H00024;ESCUELA DE EDUCACION BASICA CLUB ROTARIO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;ML_Mo_JE;BANCO MUNDIAL;-78,61553609;-0,943473421
11;Zona 3;05D01;COTOPAXI;LATACUNGA;IGNACIO FLORES (PARQUE FLORES);Ordinario;05H00032;UNIDAD EDUCATIVA ONCE DE NOVIEMBRE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;ML_Mo_JE;BANCO MUNDIAL;-78,60864952;-0,938603632
12;Zona 3;05D01;COTOPAXI;LATACUNGA;ELOY ALFARO (SAN FELIPE);Ordinario;05H00039;UNIDAD EDUCATIVA RAMON PAEZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,64089485;-0,879484854
13;Zona 3;05D01;COTOPAXI;LATACUNGA;IGNACIO FLORES (PARQUE FLORES);Ordinario;05H00047;UNIDAD EDUCATIVA DR JOSE MARIA VELASCO IBARRA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,6140232;-0,940211206
14;Zona 3;05D01;COTOPAXI;LATACUNGA;ALAQUEZ (ALAQUES);Ordinario;05H00124;UNIDAD EDUCATIVA MANUEL GONZALO ALBAN RUMAZO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,59705735;-0,864862038
15;Zona 3;18D02;TUNGURAHUA;AMBATO;HUACHI GRANDE;Ordinario;18H00193;ESCUELA DE EDUCACIÓN BÁSICA DR ALONSO CASTILLO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2027;ML_Mo;BANCO MUNDIAL;-78,63519948;-1,293553139
16;Zona 3;05D01;COTOPAXI;LATACUNGA;JOSEGUANGO BAJO;Ordinario;05H00154;UNIDAD EDUCATIVA FELIX VALENCIA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,59403327;-0,817458186
17;Zona 3;05D01;COTOPAXI;LATACUNGA;MULALO;Ordinario;05H00158;UNIDAD EDUCATIVA MULALO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,58027968;-0,781302191
18;Zona 3;05D01;COTOPAXI;LATACUNGA;MULALO;Ordinario;05H00166;UNIDAD EDUCATIVA GRAL LEONIDAS PLAZA GUTIERREZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,57533351;-0,729975047
19;Zona 3;05D01;COTOPAXI;LATACUNGA;POALO;Ordinario;05H00174;UNIDAD EDUCATIVA POALO - GARCIA MORENO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,67267611;-0,883206016
20;Zona 3;18D05;TUNGURAHUA;SANTIAGO DE PILLARO;SAN MIGUELITO;Ordinario;18H00619;12 DE NOVIEMBRE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,540471;-1,203951452
21;Zona 3;18D01;TUNGURAHUA;AMBATO;IZAMBA;Ordinario;18H00224;UNIDAD EDUCATIVA TARCILA ALBORNOZ DE GROSS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,56331021;-1,220284569
22;Zona 3;18D05;TUNGURAHUA;SANTIAGO DE PILLARO;EMILIO MARIA TERAN (RUMIPAMBA);Ordinario;18H00584;ESCUELA DE EDUCACIÓN BÁSICA GABRIEL URBINA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2027;ML_Mo;BANCO MUNDIAL;-78,51362486;-1,223590636
23;Zona 3;05D01;COTOPAXI;LATACUNGA;SAN JUAN DE PASTOCALLE;Ordinario;05H00186;UNIDAD EDUCATIVA PASTOCALLE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,63866562;-0,731690351
24;Zona 3;05D01;COTOPAXI;LATACUNGA;SAN JUAN DE PASTOCALLE;Ordinario;05H00191;ESCUELA DE EDUCACION BASICA RAFAEL CAJIAO ENRÍQUEZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,62013568;-0,723608264
25;Zona 3;05D01;COTOPAXI;LATACUNGA;TANICUCHI;Ordinario;05H00201;UNIDAD EDUCATIVA MARCO AURELIO SUBIA MARTINEZ - BATALLA DE PANUPALI;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,63749092;-0,77882723
26;Zona 3;05D01;COTOPAXI;LATACUNGA;TANICUCHI;Ordinario;05H00210;UNIDAD EDUCATIVA JUAN MANUEL LASSO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo_JE;BANCO MUNDIAL;-78,61755881;-0,756718327
27;Zona 3;05D01;COTOPAXI;LATACUNGA;TOACASO;Ordinario;05H00221;UNIDAD EDUCATIVA TOACASO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,68731419;-0,755244246
28;Zona 1;08D04;ESMERALDAS;QUININDE;ROSA ZARATE (QUININDE);Ordinario;08H00760;UNIDAD EDUCATIVA ALEJANDRO OTOYA BRIONES;Fiscal;Intercultural;Presencial;Costa;Pluridocente mayor;Urbana;Inicial, Educación Básica y Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-79,46211476;0,329573568
29;Zona 3;05D02;COTOPAXI;LA MANA;LA MANA;Ordinario;05H00245;UNIDAD EDUCATIVA LA MANA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-79,23160578;-0,942421987
30;Zona 3;05D02;COTOPAXI;LA MANA;EL TRIUNFO;Ordinario;05H00286;UNIDAD EDUCATIVA DR NESTOR MOGOLLON LOPEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-79,27055035;-0,942315071
31;Zona 3;05D02;COTOPAXI;LA MANA;LA MANA;Ordinario;05H00287;UNIDAD EDUCATIVA NARCISO CERDA MALDONADO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-79,2258714;-0,940541016
32;Zona 3;05D02;COTOPAXI;LA MANA;GUASAGANDA (CAB. EN GUASAGANDA CENTRO);Ordinario;05H00318;UNIDAD EDUCATIVA  GUASAGANDA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-79,1566977;-0,802991492
33;Zona 3;05D03;COTOPAXI;PANGUA;MORASPUNGO;Ordinario;05H00399;UNIDAD  EDUCATIVA  GUAPARA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-79,26626534;-1,108742463
34;Zona 3;05D04;COTOPAXI;PUJILI;PUJILI;Ordinario;05H00472;UNIDAD EDUCATIVA PUJILI;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,69851068;-0,961153338
35;Zona 3;05D04;COTOPAXI;PUJILI;LA VICTORIA;Ordinario;05H00550;UNIDAD EDUCATIVA 14 DE OCTUBRE - VICENTE ROCAFUERTE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,69739298;-0,919875405
36;Zona 3;05D04;COTOPAXI;PUJILI;TINGO;Ordinario;05H00568;UNIDAD EDUCATIVA DIGNA MARIA BEATRIZ CERDA NETO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-79,18469708;-0,935665114
37;Zona 3;05D06;COTOPAXI;SALCEDO;SAN MIGUEL;Ordinario;05H00621;UNIDAD EDUCATIVA FEDERICO GONZALEZ SUAREZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,58848699;-1,044878564
38;Zona 3;05D06;COTOPAXI;SALCEDO;ANTONIO JOSE HOLGUIN (SANTA LUCIA);Ordinario;05H00632;UNIDAD EDUCATIVA IGNACIO FLORES;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo_JE;BANCO MUNDIAL;-78,60414632;-1,098949032
39;Zona 3;05D06;COTOPAXI;SALCEDO;CUSUBAMBA;Ordinario;05H00640;UNIDAD EDUCATIVA CUSUBAMBA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,70122392;-1,069691197
40;Zona 3;18D01;TUNGURAHUA;AMBATO;CUNCHIBAMBA;Ordinario;18H00327;UNIDAD EDUCATIVA DARIO GUEVARA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,58727615;-1,137948592
41;Zona 3;05D06;COTOPAXI;SALCEDO;MULLIQUINDIL (SANTA ANA);Ordinario;05H00658;UNIDAD EDUCATIVA EMILIO TERAN;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,56463966;-1,033058258
42;Zona 3;05D06;COTOPAXI;SALCEDO;PANSALEO;Ordinario;05H00665;UNIDAD EDUCATIVA NÉSTOR MOGOLLÓN;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,57972515;-1,092059444
43;Zona 3;05D06;COTOPAXI;SALCEDO;PANSALEO;Ordinario;05H00667;UNIDAD EDUCATIVA JOSE MEJÍA LEQUERICA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,59944807;-1,066584562
44;Zona 3;18D01;TUNGURAHUA;AMBATO;IZAMBA;Ordinario;18H00209;UNIDAD EDUCATIVA JULIO ENRIQUE FERNANDEZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,58769276;-1,227446163
45;Zona 3;05D05;COTOPAXI;SIGCHOS;SIGCHOS;Ordinario;05H00716;UNIDAD EDUCATIVA DEL MILENIO SIGCHOS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,88752136;-0,703435273
46;Zona 3;18D04;TUNGURAHUA;SAN PEDRO DE PELILEO;COTALO;Ordinario;18H00518;UNIDAD EDUCATIVA  COTALO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,51169399;-1,430276465
47;Zona 3;05D05;COTOPAXI;SIGCHOS;PALO QUEMADO;Ordinario;05H00803;UNIDAD EDUCATIVA JUAN SALINAS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,9233517;-0,374672742
48;Zona 3;18D01;TUNGURAHUA;AMBATO;AUGUSTO N. MARTINEZ (MUNDUGLEO);Ordinario;18H00186;ESCUELA DE EDUCACION BASICA HECTOR LARA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente menor;Rural;Inicial y EGB;2027;ML_Mo;BANCO MUNDIAL;-78,60749745;-1,130571368
49;Zona 3;05D01;COTOPAXI;LATACUNGA;IGNACIO FLORES (PARQUE FLORES);Ordinario;05H00855;UNIDAD EDUCATIVA LUIS FERNANDO RUIZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,60480296;-0,933356412
50;Zona 3;05D01;COTOPAXI;LATACUNGA;TOACASO;Ordinario;05H00857;UNIDAD EDUCATIVA CORONEL HECTOR ESPINOSA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,72288114;-0,748377038
51;Zona 3;05D04;COTOPAXI;PUJILI;PUJILI;Ordinario;05H00900;UNIDAD EDUCATIVA BELISARIO QUEVEDO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,70198317;-0,957654604
52;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;LIZARZABURU;Ordinario;06H00013;ESCUELA DE EDUCACION BASICA GRAL JUAN LAVALLE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,67876572;-1,645819441
53;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;LIZARZABURU;Ordinario;06H00021;ESCUELA DE EDUCACION BASICA SAN FELIPE NERI;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB;2027;ML_Mo_JE;BANCO MUNDIAL;-78,66924092;-1,661659997
54;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;LIZARZABURU;Ordinario;06H00024;UNIDAD EDUCATIVA CAMILO GALLEGOS TOLEDO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,67031332;-1,656585801
55;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;LIZARZABURU;Ordinario;06H00044;UNIDAD EDUCATIVA ONCE DE NOVIEMBRE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,6434387;-1,661399134
56;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;LICTO;Ordinario;06H00358;UNIDAD EDUCATIVA LICTO;FISCAL;Intercultural;Presencial;Sierra;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,60322941;-1,806770411
57;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;VELASCO;Ordinario;06H00166;UNIDAD EDUCATIVA  MIGUEL ANGEL LEON PONTON;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,64683788;-1,666284246
58;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;SAN LUIS;Ordinario;06H00215;UNIDAD EDUCATIVA MILTON REYES;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,64148645;-1,707053725
59;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;VELOZ;Ordinario;06H00232;UNIDAD EDUCATIVA  ISABEL DE GODIN;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,65096135;-1,679508135
60;Zona 3;18D05;TUNGURAHUA;SANTIAGO DE PILLARO;PILLARO;Ordinario;18H00566;ESCUELA DE EDUCACIÓN BÁSICA UNION NACIONAL DE PERIODISTAS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial y EGB;2027;ML_Mo;BANCO MUNDIAL;-78,54204241;-1,16904012
61;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;CALPI;Ordinario;06H00317;UNIDAD EDUCATIVA VICTOR PROAÑO CARRION;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,74161767;-1,647612092
62;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;CUBIJIES;Ordinario;06H00337;ESCUELA DE EDUCACION BASICA ANDOAS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente menor;Rural;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,60444199;-1,649262469
63;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;LICTO;Ordinario;06H00363;ESCUELA DE EDUCACION  BASICA   CACIQUE PINTAG;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,60475113;-1,769413075
64;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;PUNGALA;Ordinario;06H00410;ESCUELA DE EDUCACION BASICA  AMBROSIO NORIEGA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,59394928;-1,81681986
65;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;QUIMIAG;Ordinario;06H00471;ESCUELA DE EDUCACION BASICA  BERNARDO CASTILLO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,56943059;-1,657558873
66;Zona 3;18D04;TUNGURAHUA;SAN PEDRO DE PELILEO;EL ROSARIO (RUMICHACA);Ordinario;18H00527;ESCUELA DE EDUCACION BASICA ATAHUALPA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2027;ML_Mo;BANCO MUNDIAL;-78,54605717;-1,277113071
67;Zona 3;06D01;CHIMBORAZO;RIOBAMBA;SAN LUIS;Ordinario;06H00512;ESCUELA DE EDUCACION BASICA NIDIA JARAMILLO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,64407796;-1,696708285
68;Zona 3;06D04;CHIMBORAZO;GUAMOTE;PALMIRA;Ordinario;06H01004;UNIDAD EDUCATIVA DEL MILENIO GUARDIANA DE LA LENGUA 27 DE FEBRERO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,73412702;-2,07930878
69;Zona 3;06D05;CHIMBORAZO;GUANO;ILAPO;Ordinario;06H01064;UNIDAD EDUCATIVA DR MANUEL RODRIGUEZ OROZCO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,58497828;-1,540307799
70;Zona 3;06D05;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;06H01076;UNIDAD EDUCATIVA ONCE DE NOVIEMBRE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,75172099;-1,565071903
71;Zona 3;06D05;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;06H01081;ESCUELA DE EDUCACIÓN BÁSICA REPUBLICA FEDERAL DE ALEMANIA;FISCAL;Intercultural;Presencial;SIERRA;Bidocente;Rural;Inicial/EGB;2027;ML_Mo;BANCO MUNDIAL;-78,7439637;-1,552777889
72;Zona 3;06D05;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;06H01082;UNIDAD EDUCATIVA SAN PABLO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,72332206;-1,560032866
73;Zona 3;05D05;COTOPAXI;SIGCHOS;CHUGCHILLAN;Ordinario;05H00772;UNIDAD EDUCATIVA JUAN JOSÉ FLORES;FISCAL;Intercultural;Presencial;Sierra;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,92279016;-0,80062727
74;Zona 3;06D05;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;06H01090;UNIDAD EDUCATIVA TUNTATACTO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,72320092;-1,530399392
75;Zona 3;06D05;CHIMBORAZO;GUANO;SAN ANDRES;Ordinario;06H01095;ESCUELA DE EDUCACIÓN BÁSICA NUEVE DE OCTUBRE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente menor;Rural;Inicial/EGB;2027;ML_Mo_JE;BANCO MUNDIAL;-78,76016096;-1,552035843
76;Zona 3;06D05;CHIMBORAZO;GUANO;SAN ISIDRO DE PATULU;Ordinario;06H01172;UNIDAD EDUCATIVA SAN ISIDRO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,69325508;-1,585881064
77;Zona 3;06D05;CHIMBORAZO;GUANO;SAN JOSE DEL CHAZO;Ordinario;06H01196;UNIDAD EDUCATIVA JOSÉ ENRIQUE RODÓ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-78,54922643;-1,528199737
78;Zona 3;06D05;CHIMBORAZO;GUANO;SANTA FE DE GALAN;Ordinario;06H01197;ESCUELA DE EDUCACIÓN BÁSICA JOSÉ ANTONIO LIZARZABURU;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB;2027;ML_Mo_JE;BANCO MUNDIAL;-78,56282089;-1,491336096
79;Zona 3;06D05;CHIMBORAZO;PENIPE;SAN ANTONIO DE BAYUSHIG;Ordinario;06H01290;UNIDAD EDUCATIVA MANUEL ALVAREZ MENDEZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo_JE;BANCO MUNDIAL;-78,51962431;-1,550554454
80;Zona 7;07D04;EL ORO;BALSAS;BELLAMARIA;Ordinario;07H00516;UNIDAD EDUCATIVA BELLAMARIA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-79,84780554;-3,760416706
81;Zona 6;03D03;CAÑAR;LA TRONCAL;PANCHO NEGRO;Ordinario;03H00795;UNIDAD EDUCATIVA DEL MILENIO GRAL. ELOY ALFARO DELGADO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;ML_Mo;BANCO MUNDIAL;-79,48999075;-2,504806414
