Nro_;ZONA;DISTRITO;PROVINCIA;CANTÓN;PARROQUIA;TIPO_EDUCA;INSTITUCI;SOSTENIMIE;JURISDICCI;MODALIDAD;RÉGIMEN;TIPOLOGIA;ZONA_INEC;NIVEL_DE_E;AÑO_DE_DO;Tipo_de_Pr;AMIE;Longitud;Latitud
298;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA FISCAL RIO PUTUMAYO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02083;-79,87848164;-2,272681242
299;Zona 8;09D02;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;CENTRO DE EDUCACION INICIAL FISCAL FRANCISCO GRANIZO RIBADENEIRA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial;2026;BANCO MUNDIAL;09H02086;-79,91022529;-2,226968852
300;Zona 8;09D07;GUAYAS;GUAYAQUIL;PASCUALES;Ordinario;UNIDAD EDUCATIVA FISCAL ALEJO LASCANO BAHAMONDE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02134;-79,94937865;-2,048142306
301;Zona 6;03D01;CAÑAR;AZOGUES;GUAPAN;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA REPUBLICA DEL ECUADOR;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2026;BANCO MUNDIAL;03H00111;-78,8619722;-2,704555545
302;Zona 8;09D08;GUAYAS;GUAYAQUIL;TARQUI;Ordinario;UNIDAD EDUCATIVA FISCAL FERMIN VERA ROJAS;Fiscal;Intercultural;Presencial;Costa;Pluridocente mayor;Urbana;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;09H01798;-79,96117485;-2,096183984
303;Zona 8;09D02;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL JOSE SALCEDO DELGADO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02254;-79,90270029;-2,234961277
304;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL BLANCA GOETTA DE ORDOÑEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02295;-79,89182255;-2,271475797
305;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA FISCAL DR CARLOS ORTIZ MACÍAS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02325;-79,88794024;-2,285169523
306;Zona 6;01D01;AZUAY;CUENCA;EL VECINO;Ordinario;UNIDAD EDUCATIVA JUAN MONTALVO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;01H00155;-78,97982912;-2,880106738
307;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACION BASICA COMPLETA FISCAL JOSE HERBOSO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02360;-79,89275723;-2,240516019
308;Zona 8;09D10;GUAYAS;GUAYAQUIL;MORRO;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA FISCAL ROSENDO VEGA DE LA TORRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial y EGB;2026;BANCO MUNDIAL;09H02628;-80,32748809;-2,632721159
309;Zona 2;17D11;PICHINCHA;MEJIA;CUTUGLAHUA;Ordinario;2 DE AGOSTO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;17H01514;-78,55013888;-0,366250023
310;Zona 6;03D01;CAÑAR;AZOGUES;TADAY;Ordinario;ESCUELA DE EDUCACIÓN BASICA VICENTE ROCAFUERTE;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2026;BANCO MUNDIAL;03H00201;-78,69344442;-2,639138928
311;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL CIUDAD DE MACHALA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02401;-79,87710215;-2,267114332
312;Zona 6;03D02;CAÑAR;CAÑAR;DUCUR;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA RAFAEL AGUILAR;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial y EGB;2026;BANCO MUNDIAL;03H00475;-79,11624996;-2,449583308
313;Zona 8;09D02;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA FISCAL DRA BERTHA VALVERDE DE DUARTE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02443;-79,91927536;-2,232121663
314;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL ALFREDO BARANDEARAN SAMANIEGO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02449;-79,87578776;-2,278190331
315;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;UNIDAD EDUCATIVA FISCAL CIUDAD DE RIOBAMBA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02451;-79,88502737;-2,282316579
316;Zona 6;03D02;CAÑAR;CAÑAR;DUCUR;Ordinario;UNIDAD EDUCATIVA MANUEL AGUSTIN AGUIRRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;03H00476;-79,18186108;-2,473138863
317;Zona 8;09D08;GUAYAS;GUAYAQUIL;TARQUI;Ordinario;UNIDAD EDUCATIVA FISCAL MIGUEL DONOSO PAREJA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02463;-79,98183965;-2,115056139
318;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL HEROES DE PAQUISHA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02480;-79,88237419;-2,255216709
319;Zona 8;09D03;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA GENERAL ELOY ALFARO;Fiscal;Intercultural;Presencial;Costa;Pluridocente mayor;Urbana;Inicial y EGB;2026;BANCO MUNDIAL;09H00382;-79,91036154;-2,198241868
320;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL GUILLERMO SOTO ZATIZABAL;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02503;-79,87801932;-2,259881054
321;Zona 8;09D01;GUAYAS;GUAYAQUIL;XIMENA;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL DR  MODESTO  CHAVEZ  FRANCO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02510;-79,8972479;-2,219580915
322;Zona 6;14D02;MORONA SANTIAGO;PALORA;PALORA (METZERA);Ordinario;ESCUELA DE EDUCACION BASICA QUITO LUZ DE AMERICA;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial y EGB;2026;BANCO MUNDIAL;14H00239;-77,96749728;-1,702013284
323;Zona 9;17D08;PICHINCHA;QUITO;PINTAG;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA FISCAL CRISTÓBAL COLÓN;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2026;BANCO MUNDIAL;17H01949;-78,37525784;-0,367710184
324;Zona 8;09D09;GUAYAS;GUAYAQUIL;TARQUI;Ordinario;ESCUELA DE EDUCACION BASICA LIBERTADOR BOLIVAR;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02636;-80,08129557;-2,2172546
325;Zona 8;09D09;GUAYAS;GUAYAQUIL;TARQUI;Ordinario;UNIDAD EDUCATIVA FISCAL PUERTO HONDO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02639;-80,0252178;-2,192033216
326;Zona 8;09D09;GUAYAS;GUAYAQUIL;TARQUI;Ordinario;ESCUELA DE EDUCACION BASICA FISCAL NUEVA ESPERANZA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02649;-80,05343752;-2,190770971
327;Zona 8;09D09;GUAYAS;GUAYAQUIL;TARQUI;Ordinario;UNIDAD EDUCATIVA LUIS ENRIQUE MORALES ALFARO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02660;-80,07040384;-2,206758944
328;Zona 3;18D05;TUNGURAHUA;SANTIAGO DE PILLARO;MARCOS ESPINEL;Ordinario;UNIDAD EDUCATIVA MANUEL DEL CARMEN PACHANO;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial y EGB;2026;BANCO MUNDIAL;18H00586;-78,52445419;-1,174664761
329;Zona 6;03D01;CAÑAR;DELEG;SOLANO;Ordinario;UNIDAD EDUCATIVA SAN SEBASTIAN;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;03H00612;-78,93430557;-2,810055575
330;Zona 8;09D07;GUAYAS;GUAYAQUIL;PASCUALES;Ordinario;UNIDAD EDUCATIVA FISCAL VICENTE DE PIEDRAHITA CARBO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02759;-79,94246887;-2,045102286
331;Zona 4;13D02;MANABI;MANTA;TARQUI;Ordinaria;ESCUELA DE EDUCACIÓN BÁSICA LUIS ESPINOZA MARTÍNEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial y EGB;2026;BANCO MUNDIAL;13H02481;-80,72179264;-0,956559556
332;Zona 4;13D04;MANABI;SANTA ANA;SANTA ANA;Ordinaria;2 DE AGOSTO;Fiscal;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial;2026;BANCO MUNDIAL;13H03193;-80,37266218;-1,207914746
333;Zona 8;09D07;GUAYAS;GUAYAQUIL;PASCUALES;Ordinario;UNIDAD EDUCATIVA FISCAL CARLOS JULIO AROSEMENA TOLA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02775;-79,93313306;-2,073134422
334;Zona 3;18D01;TUNGURAHUA;AMBATO;SAN BARTOLOME DE PINLLOG;Ordinario;UNIDAD EDUCATIVA NICOLAS MARTINEZ;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;18H00291;-78,64138116;-1,232312111
335;Zona 8;09D01;GUAYAS;GUAYAQUIL;PUNA;Ordinario;UNIDAD EDUCATIVA  FISCAL 24 DE SEPTIEMBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02815;-80,00446372;-2,579254018
336;Zona 8;09D03;GUAYAS;GUAYAQUIL;FEBRES CORDERO;Ordinario;ESCUELA DE EDUCACION BASICA DR CARLOS ZEVALLOS MENENDEZ;Fiscal;Intercultural;Presencial;Costa;Pluridocente mayor;Urbana;Inicial y EGB;2026;BANCO MUNDIAL;09H00156;-79,92388141;-2,216699279
337;Zona 8;09D01;GUAYAS;GUAYAQUIL;PUNA;Ordinario;Escuela de Educación Básica Fiscal Mario Benedetti;Fiscal;Intercultural;Presencial;Costa;Unidocente;Rural;Inicial y EGB;2026;BANCO MUNDIAL;09H05682;-79,9048107;-2,745975178
338;Zona 8;09D01;GUAYAS;GUAYAQUIL;PUNA;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA FISCAL CACIQUE TUMBALA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;BANCO MUNDIAL;09H02827;-79,91157559;-2,736308525
339;Zona 8;09D01;GUAYAS;GUAYAQUIL;PUNA;Ordinario;UNIDAD EDUCATIVA FISCAL AMÉRICA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02830;-80,13945698;-2,94773839
340;Zona 8;09D05;GUAYAS;GUAYAQUIL;TENGUEL;Ordinario;UNIDAD EDUCATIVA TENGUEL SARAGURO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02842;-79,78733664;-2,992155628
341;Zona 8;09D05;GUAYAS;GUAYAQUIL;TENGUEL;Ordinario;MARIA MONTESSORI;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;BANCO MUNDIAL;09H02844;-79,78918262;-2,99618462
342;Zona 5;09D11;GUAYAS;ALFREDO BAQUERIZO MORENO;ALFREDO BAQUERIZO MORENO (JUJAN);Ordinario;UNIDAD EDUCATIVA TEODORO WOLF;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02852;-79,55388681;-1,894264359
343;Zona 5;09D11;GUAYAS;ALFREDO BAQUERIZO MORENO;ALFREDO BAQUERIZO MORENO (JUJAN);Ordinario;UNIDAD EDUCATIVA CINCO DE JUNIO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02876;-79,59115262;-1,951329637
344;Zona 5;09D12;GUAYAS;BALAO;BALAO;Ordinario;UNIDAD EDUCATIVA SABINO EIPACIO ROSALES PANCHANA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H02891;-79,81157144;-2,905226343
345;Zona 5;09D12;GUAYAS;BALAO;BALAO;Ordinario;ESCUELA DE EDUCACIÓN BASICA DOCE DE OCTUBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02892;-79,70830488;-2,905275239
346;Zona 5;09D12;GUAYAS;BALAO;BALAO;Ordinario;ESCUELA DE EDUCACION BASICA JOAQUIN GALLEGOS LARA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02910;-79,76749331;-2,918683042
347;Zona 5;09D13;GUAYAS;BALZAR;BALZAR;Ordinario;ESCUELA DE EDUCACION BASICA CLEMENTINA TRIVIÑO DE UNDA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H02950;-79,89777402;-1,368736736
348;Zona 5;12D04;LOS RIOS;VENTANAS;ZAPOTAL;Ordinario;UNIDAD EDUCATIVA ZAPOTAL;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;12H01233;-79,39734956;-1,351143086
349;Zona 5;09D13;GUAYAS;BALZAR;BALZAR;Ordinario;ESPERANZA CAPUTI OLVERA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03017;-79,908668;-1,36659794
350;Zona 5;09D13;GUAYAS;BALZAR;BALZAR;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA SINALOA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03030;-79,90264093;-1,35856269
351;Zona 5;09D13;GUAYAS;BALZAR;BALZAR;Ordinario;ESCUELA DE EDUCACION BASICA PABLO NIVELA CARRIEL;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03053;-79,90359991;-1,364533222
352;Zona 5;12D03;LOS RIOS;QUEVEDO;SAN CRISTOBAL;Ordinario;ESCUELA DE EDUCACION BASICA CELESTE CARLIER FUENTES;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial y EGB;2026;BANCO MUNDIAL;12H00733;-79,45719719;-1,023337972
353;Zona 5;09D13;GUAYAS;BALZAR;BALZAR;Ordinario;ESCUELA DE EDUCACION BASICA ELOY ALFARO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03076;-79,75727086;-1,188371067
354;Zona 5;09D13;GUAYAS;COLIMES;COLIMES;Ordinario;ESCUELA DE EDUCACION BASICA RUMIÑAHUI;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03098;-80,04204038;-1,553391431
355;Zona 5;09D13;GUAYAS;COLIMES;COLIMES;Ordinario;ESCUELA DE EDUCACION BASICA UNION Y PROGRESO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03099;-79,96479127;-1,591003229
356;Zona 5;09D13;GUAYAS;COLIMES;COLIMES;Ordinario;ESCUELA DE EDUCACION BASICA EUGENIO ESPEJO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03124;-80,01279428;-1,546448729
357;Zona 5;09D13;GUAYAS;COLIMES;COLIMES;Ordinario;ESCUELA DE EDUCACION BASICA MARIETA ESCOBAR GAVILANEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03159;-80,01117582;-1,547524432
358;Zona 5;09D13;GUAYAS;COLIMES;SAN JACINTO;Ordinario;UNIDAD EDUCATIVA SAN JACINTO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H03174;-79,9978104;-1,620898081
359;Zona 5;09D19;GUAYAS;DAULE;LA AURORA (SATELITE);Ordinario;ESCUELA DE EDUCACION BASICA MARINA GALLARDO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03198;-79,88207126;-2,054107034
360;Zona 1;08D03;ESMERALDAS;ATACAMES;ATACAMES;Ordinario;UNIDAD EDUCATIVA  ATACAMES;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;08H01275;-79,85556492;0,867317777
361;Zona 5;09D19;GUAYAS;DAULE;DAULE;Ordinario;ESCUELA DE EDUCACION BASICA ELOY ALFARO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03247;-79,98486906;-1,867443988
362;Zona 5;09D19;GUAYAS;DAULE;DAULE;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA ETELVINA CARBO PLAZA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03252;-79,97828594;-1,855997249
363;Zona 5;09D19;GUAYAS;DAULE;DAULE;Ordinario;ESCUELA DE EDUCACION BASICA DR JOSE MARIA CARBO AGUIRRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03253;-79,97985126;-1,854143773
364;Zona 5;09D19;GUAYAS;DAULE;DAULE;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA LUIS MIGUEL VELASCO NAVARRO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03256;-79,99917728;-1,842585251
365;Zona 5;09D19;GUAYAS;DAULE;DAULE;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA 26 DE NOVIEMBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03280;-79,9826021;-1,854317236
366;Zona 5;09D19;GUAYAS;DAULE;DAULE;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA JOSE JOAQUIN DE OLMEDO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03317;-79,93429758;-1,886789644
367;Zona 5;09D19;GUAYAS;DAULE;JUAN BAUTISTA AGUIRRE (LOS TINTOS);Ordinario;ESCUELA DE EDUCACION BASICA CINCO  DE MAYO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;BANCO MUNDIAL;09H03323;-79,87712251;-1,871213346
368;Zona 5;09D19;GUAYAS;DAULE;LAUREL;Ordinario;ESCUELA DE EDUCACION BASICA ENRIUR;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;BANCO MUNDIAL;09H03325;-79,89621026;-1,838335979
369;Zona 5;09D19;GUAYAS;DAULE;LAUREL;Ordinario;UNIDAD EDUCATIVA PLAN INTERNACIONAL;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H03361;-79,90980132;-1,780380318
370;Zona 5;09D20;GUAYAS;SALITRE;JUNQUILLAL;Ordinario;UNIDAD EDUCATIVA MATILDE HIDALGO DE PROCEL;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H03363;-79,90663674;-1,783633753
371;Zona 5;12D01;LOS RIOS;BABAHOYO;PIMOCHA;Ordinario;UNIDAD EDUCATIVA VICENTE PIEDRAHITA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;12H00317;-79,57871821;-1,702823544
372;Zona 5;09D19;GUAYAS;DAULE;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);Ordinario;ESCUELA DE EDUCACION BASICA MARIA ESTHER REYES PEÑA;FISCAL;Intercultural;Presencial;COSTA;Bidocente;Rural;Inicial y EGB;2026;BANCO MUNDIAL;09H03450;-79,86383188;-1,94381581
373;Zona 5;09D19;GUAYAS;DAULE;LIMONAL;Ordinario;UNIDAD EDUCATIVA ROSA OLGA VILLACRES LOZANO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H03397;-80,0059111;-1,792710204
374;Zona 5;09D14;GUAYAS;LOMAS DE SARGENTILLO;LOMAS DE SARGENTILLO;Ordinario;UNIDAD EDUCATIVA MANUELA CAÑIZARES;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03405;-80,08524778;-1,878915551
375;Zona 5;12D06;LOS RIOS;VALENCIA;VALENCIA;Ordinario;VICTOR MANUEL RENDÓN;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial y EGB;2026;BANCO MUNDIAL;12H01744;-79,35226529;-0,950304209
376;Zona 5;09D19;GUAYAS;DAULE;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);Ordinario;ESCUELA DE EDUCACION BASICA LUIS FELIPE BORJA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;BANCO MUNDIAL;09H03430;-79,96855039;-1,960596505
377;Zona 5;09D19;GUAYAS;DAULE;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);Ordinario;ESCUELA DE EDUCACION BASICA 4 DE OCTUBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2026;BANCO MUNDIAL;09H03432;-79,8699678;-1,991929206
378;Zona 5;09D19;GUAYAS;DAULE;LOS LOJAS (ENRIQUE BAQUERIZO MORENO);Ordinario;UNIDAD EDUCATIVA VICTORIA TORRES DE NEIRA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2026;BANCO MUNDIAL;09H03443;-79,94266903;-2,013651136
379;Zona 7;07D03;EL ORO;ATAHUALPA;SAN JUAN DE CERRO AZUL;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA ODALIA  ARÁUZ;FISCAL;Intercultural;Presencial;COSTA;Bidocente;Rural;Inicial y EGB;2026;BANCO MUNDIAL;07H00496;-79,73347219;-3,472555581
380;Zona 8;09D24;GUAYAS;DURAN;ELOY ALFARO (DURAN);Ordinario;ESCUELA DE EDUCACION BASICA FISCAL GUILLERMO DAVIS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03454;-79,84352289;-2,170556283
381;Zona 6;03D02;CAÑAR;CAÑAR;SAN ANTONIO;Ordinario;UNIDAD EDUCATIVA FROILAN SEGUNDO MENDEZ;Fiscal;Intercultural;Presencial y Semipresencial;Costa;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;03H00453;-79,32852942;-2,517171891
382;Zona 8;09D24;GUAYAS;DURAN;ELOY ALFARO (DURAN);Ordinario;ESCUELA DE EDUCACION BASICA FISCAL DANIEL TORRES PONCE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03467;-79,82698394;-2,266866598
383;Zona 6;03D02;CAÑAR;CAÑAR;DUCUR;Ordinario;UNIDAD EDUCATIVA SEVERO ESPINOSA VALDIVIESO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2026;BANCO MUNDIAL;03H00479;-79,11644189;-2,458956588
384;Zona 8;09D24;GUAYAS;DURAN;ELOY ALFARO (DURAN);Ordinario;ESCUELA DE EDUCACION BASICA FISCAL 16 DE OCTUBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB;2026;BANCO MUNDIAL;09H03514;-79,8563115;-2,178607402
