Nro_;ZONA;DISTRITO;PROVINCIA;CANTÓN;PARROQUIA;TIPO_EDUCA;INSTITUCI;SOSTENIMIE;JURISDICCI;MODALIDAD;RÉGIMEN;TIPOLOGIA;ZONA_INEC;NIVEL_DE_E;AÑO_DE_DO;Tipo_de_Pr;AMIE;Longitud;Latitud
139;Zona 1;08D04;ESMERALDAS;QUININDE;ROSA ZARATE (QUININDE);Ordinario;ESCUELA DE EDUCACION GENERAL BASICA FISCAL  9 DE OCTUBRE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial y EGB;2027;BANCO MUNDIAL;08H00683;-79,46944442;0,336041208
140;Zona 6;01D01;AZUAY;CUENCA;MACHANGARA;Ordinario;UNIDAD EDUCATIVA CAZADORES DE LOS RIOS;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Urbana;Inicial, Educación Básica y Bachillerato;2027;BANCO MUNDIAL;01H00237;-78,95996958;-2,882557542
141;Zona 1;08D05;ESMERALDAS;SAN LORENZO;SAN LORENZO;Ordinario;UNIDAD EDUCATIVA “22 DE MARZO”;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial, Educación Básica y Bachillerato;2027;BANCO MUNDIAL;08H02400;-78,82989031;1,281022628
142;Zona 1;08D04;ESMERALDAS;QUININDE;MALIMPIA;Ordinario;ESCUELA EB  EDEN DEL SADE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H00917;-79,33655101;0,520754014
143;Zona 1;08D04;ESMERALDAS;QUININDE;MALIMPIA;Ordinario;UNIDAD EDUCATIVA DEL MILENIO MALIMPIA;FISCAL;Intercultural;Presencial y Semipresencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H00976;-79,41633224;0,395170296
144;Zona 1;08D04;ESMERALDAS;QUININDE;VICHE;Ordinario;UNIDAD EDUCATIVA JUAN CARLOS MATHEUS POZO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01016;-79,541767;0,652631989
145;Zona 1;04D03;CARCHI;ESPEJO;LA LIBERTAD (ALIZO);Ordinario;UNIDAD EDUCATIVA LIBERTAD;FISCAL;Intercultural;Presencial;SIERRA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;BANCO MUNDIAL;04H00241;-77,94516671;0,656305536
146;Zona 1;08D04;ESMERALDAS;QUININDE;LA UNION;Ordinario;UNIDAD EDUCATIVA CIUDAD DE AMBATO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01050;-79,36165783;0,131882675
147;Zona 1;08D04;ESMERALDAS;QUININDE;LA UNION;Ordinario;UNIDAD EDUCATIVA QUITO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01059;-79,4017584;0,136126828
148;Zona 4;23D03;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;LA VILLEGAS;Ordinario;UNIDAD EDUCATIVA ANTONIO  ALOMIA LLORY;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H01106;-79,44398624;-0,06018743
149;Zona 4;13D07;MANABI;CHONE;BOYACA;Ordinario;UNIDAD EDUCATIVA JUAN CRUZ AIZPRUA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;BANCO MUNDIAL;13H01116;-80,17719445;-0,572500004
150;Zona 4;13D09;MANABI;PAJAN;CAMPOZANO (LA PALMA DE PAJAN);Ordinario;UNIDAD EDUCATIVA “CAMPOZANO”;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;BANCO MUNDIAL;13H02905;-80,39909972;-1,593600134
151;Zona 4;23D03;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;LA CONCORDIA;Ordinario;UNIDAD EDUCATIVA DR  ANDRES F CORDOVA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01144;-79,38365269;0,01835869
152;Zona 4;23D03;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;LA CONCORDIA;Ordinario;ROSA ZARATE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01169;-79,39883794;0,000698359
153;Zona 1;08D05;ESMERALDAS;SAN LORENZO;SAN LORENZO;Ordinario;UNIDAD EDUCATIVA JOSE OTILIO RAMIREZ REINA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01189;-78,82166998;1,286670016
154;Zona 1;08D05;ESMERALDAS;SAN LORENZO;SAN LORENZO;Ordinario;UNIDAD EDUCATIVA 26 DE AGOSTO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01195;-78,83647773;1,287844985
155;Zona 1;08D05;ESMERALDAS;SAN LORENZO;CARONDELET;Ordinario;ESCUELA DE EDUCACIÓN BÁSICA REMIGIO CRESPO TORAL;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial y EGB;2027;BANCO MUNDIAL;08H01220;-78,77267;1,127919977
156;Zona 1;08D05;ESMERALDAS;SAN LORENZO;SANTA RITA;Ordinario;ESCUELA EGB GENERAL JULIO ANDRADE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente menor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H01244;-78,72792122;1,098531139
157;Zona 1;08D05;ESMERALDAS;SAN LORENZO;SANTA RITA;Ordinario;UNIDAD EDUCATIVA JOSE GABRIEL BATALLAS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01246;-78,70361;1,091609956
158;Zona 1;08D02;ESMERALDAS;ELOY ALFARO;ANCHAYACU;Ordinario;UNIDAD EDUCATIVA 2 DE AGOSTO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;BANCO MUNDIAL;08H00437;-79,0600422;0,91332307
159;Zona 1;08D03;ESMERALDAS;ATACAMES;ATACAMES;Ordinario;UNIDAD EDUCATIVA  LCDA AGUEDA GONZALEZ QUIÑONEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Urbana;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01276;-79,84855547;0,868654364
160;Zona 1;08D03;ESMERALDAS;ATACAMES;TONSUPA;Ordinario;ESCUELA DE EDUCACION BASICA VICTORIA VASQUEZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H01318;-79,81678807;0,875880767
161;Zona 1;08D03;ESMERALDAS;ATACAMES;TONSUPA;Ordinario;UNIDAD EDUCATIVA  ANTONIO ANTE;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H01327;-79,76399904;0,868509889
162;Zona 1;08D03;ESMERALDAS;ATACAMES;TONSUPA;Ordinario;UNIDAD EDUCATIVA  CORONEL HELEODORO SAENZ RIVADENEIRA;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H01332;-79,82108981;0,883814917
163;Zona 1;08D03;ESMERALDAS;ATACAMES;TONSUPA;Ordinario;ESCUELA DE EDUCACION BASICA  ZOILA UGARTE DE LANDIVAR;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H01341;-79,81184292;0,885114479
164;Zona 1;08D06;ESMERALDAS;RIOVERDE;CHUMUNDE;Ordinario;ESCUELA DE EDUCACIÓN GENERAL BÁSICA RICARDO PLAZA BASTIDAS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H01380;-79,39380896;0,769000024
165;Zona 1;08D06;ESMERALDAS;RIOVERDE;CHONTADURO;Ordinario;UNIDAD  EDUCATIVA FISCAL CHONTADURO;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial, Educación Básica y Bachillerato;2027;BANCO MUNDIAL;08H01369;-79,43650327;0,93087555
166;Zona 1;08D06;ESMERALDAS;RIOVERDE;LAGARTO;Ordinario;UNIDAD EDUCATIVA DONATO YANNUZZELLY ORTIZ;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H01401;-79,25361821;1,072906403
167;Zona 1;08D06;ESMERALDAS;RIOVERDE;LAGARTO;Ordinario;ESCUELA EGB FISCAL SEBASTIAN DE ILLESCAS;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB;2027;BANCO MUNDIAL;08H01408;-79,20938889;1,057666633
168;Zona 1;08D06;ESMERALDAS;RIOVERDE;ROCAFUERTE;Ordinario;UNIDAD EDUCATIVA RAMON ESTUPIÑAN;FISCAL;Intercultural;Presencial;COSTA;Pluridocente mayor;Rural;Inicial/EGB/Bachillerato;2027;BANCO MUNDIAL;08H01428;-79,37326699;1,066054441
